"CAS","Pollutant","Acute Toxic Endpoints","Subchronic Toxic Endpoints","Chronic Noncancer Endpoints","Persistent Bioaccumulative Toxicants","Respiratory Sensitizers","Developmental Toxicants"
"111-76-2","Butyl Cellosolve (ethylene glycol monobutyl ether)","Resp , Eyes","","Blood",0,0,0
"123-72-8","Butyraldehyde","Ethanol specific",NA,"Ethanol specific",0,0,0
"7440-43-9","Cadmium",NA,"","Kidney, Resp",0,0,0
"0-00-4","Cadmium Compounds",NA,"","Kidney, Resp",0,0,0
"105-60-2","Caprolactum","Eyes","","Resp",0,0,0
"75-15-0","Carbon disulfide","Repro","","Neuro",0,0,1
"630-08-0","Carbon Monoxide","Cardio","",NA,0,0,0
"56-23-5","Carbon tetrachloride","Repro , Neuro , Liver , Digest","","Digest, Repro, Neuro",0,0,1
"111-15-9","Cellosolve Acetate (ethylene glycol monoethyl ether acetate)","Repro","Repro","Repro",0,0,1
"1306-38-3","Cerium Oxide and Cerium Compounds",NA,"","Resp",0,0,0
"12789-03-6","Chlordane or (57-74-9)",NA,"Liver","Liver",1,0,0
"108171-26-2","Chlorinated Paraffins (C12, 60% Chlorine)",NA,"",NA,0,0,0
"7782-50-5","Chlorine","Resp","","Resp",0,0,0
"10049-04-4","Chlorine Oxide (CLO2)",NA,"Resp","Resp",0,0,0
"75-68-3","Chloro-1,1-difluoroethane, 1- (HCFC-142b)",NA,"","Systemic",0,0,0
"95-83-0","Chloro-o-phenylenediamine, 4-",NA,"",NA,0,0,0
"95-69-2","Chloro-o-toluidine, p-",NA,"",NA,0,0,0
"532-27-4","Chloroacetophenone, 2-",NA,"","Resp",0,0,0
"108-90-7","Chlorobenzene",NA,"Liver","Digest, Kidney, Repro",0,0,0
"98-56-6","Chlorobenzotrifluoride, 4-",NA,"Liver","Liver, Blood",0,0,0
"75-45-6","Chlorodifluoromethane (HCFC-22)",NA,"","Kidney, Repro",0,0,0
"67-66-3","Chloroform","Repro","","Digest, Kidney, Repro",0,0,1
"100-00-5","Chloronitrobenzene, p-",NA,"Liver, Blood","Blood",0,0,0
"76-06-2","Chloropicrin","Resp , Eyes","","Resp",0,0,0
"126-99-8","Chloroprene",NA,"","Resp, Blood",0,0,0
"18540-29-9-aer","Chromic acid mists and dissolved Cr(VI) aerosols",NA,"Resp","Resp",1,1,0
"7440-47-3","Chromium",NA,"Resp","Resp",1,1,0
"18540-29-9","Chromium (Hexavalent) (particulate)",NA,"Resp","Resp",1,1,0
"0-00-5","Chromium Compounds",NA,"Resp","Resp",1,1,0
"218-01-9","Chrysene (Benzo(a)phenanthrene)",NA,"",NA,1,0,0
"8007-45-2","Coal Tar",NA,"",NA,0,0,0
"7440-48-4","Cobalt",NA,"Systemic","Systemic",0,1,0
"0-00-7","Coke Oven Emissions",NA,"",NA,0,0,0
"7440-50-8","Copper","Resp","",NA,0,0,0
"00-03-1","Copper Compounds","Resp","",NA,0,0,0
"120-71-8","Cresidine, p-",NA,"",NA,0,0,0
"108-39-4","Cresol, m-",NA,"","Neuro",0,0,0
"95-48-7","Cresol, o-",NA,"","Neuro",0,0,0
"106-44-5","Cresol, p-",NA,"","Neuro",0,0,0
"1319-77-3","Cresols/Cresylic acid (isomers and mixture)",NA,"","Neuro",0,0,0
"98-82-8","Cumene",NA,"Kidney, Repro","Kidney",0,0,0
"135-20-6","Cupferron",NA,"",NA,0,0,0
"57-12-5","Cyanide (Cyanide ion, Inorganic cyanides, Isocyanide)","Neuro","","Neuro, Repro",0,0,0
"0-00-8","Cyanide Compounds","Neuro","","Neuro, Repro",0,0,0
"110-82-7","Cyclohexane",NA,"Repro","Repro",0,0,0
"109-94-1","Cyclohexanone",NA,"Systemic","Systemic",0,0,0
"27208-37-3","Cyclopenta[c,d]pyrene",NA,"",NA,1,0,0
"50-29-3","DDT",NA,"",NA,1,0,0
"615-05-4","Diaminoanisole, 2,4-",NA,"",NA,0,0,0
"103-33-3","Diazene, Diphenyl",NA,"",NA,0,0,0
"226-36-8","Dibenz(a,h)acridine",NA,"",NA,1,0,0
"224-42-0","Dibenz(a,j)acridine",NA,"",NA,1,0,0
"53-70-3","Dibenz[a,h]anthracene",NA,"",NA,1,0,0
"192-65-4","Dibenzo(a,e)pyrene",NA,"",NA,1,0,0
"189-64-0","Dibenzo(a,h)pyrene",NA,"",NA,1,0,0
"191-30-0","Dibenzo(a,l)pyrene",NA,"",NA,1,0,0
"194-59-2","Dibenzo(c,g)carbazole, 7H-",NA,"",NA,1,0,0
"5385-75-1","Dibenzo[a,e]fluoranthene",NA,"",NA,1,0,0
"189-55-9","Dibenzo[a,i]pyrene",NA,"",NA,1,0,0
"96-12-8","Dibromo-3-chloropropane, 1,2-",NA,"Repro","Repro",0,0,0
"764-41-0","Dichloro-2-butene, 1,4-",NA,"",NA,0,0,0
"1476-11-5","Dichloro-2-butene, cis-1,4-",NA,"",NA,0,0,0
"106-46-7","Dichlorobenzene(p), 1,4-",NA,"Liver","Liver",0,0,0
"25321-22-6","Dichlorobenzenes",NA,"Liver","Liver",0,0,0
"91-94-1","Dichlorobenzidene, 3,3-",NA,"",NA,0,0,0
"75-71-8","Dichlorodifluoromethane (CFC-12)",NA,"Systemic",NA,0,0,0
"111-44-4","Dichloroethyl ether (Bis(2-chloroethyl)ethe",NA,"",NA,0,0,0
"75-35-4","Dichloroethylene (1,1-) (Vinylidene chloride)",NA,"","Liver",0,0,0
"156-60-5","Dichloroethylene, trans-1,2-",NA,"","Resp",0,0,0
"542-75-6","Dichloropropene, 1,3-",NA,"","Resp",0,0,0
"62-73-7","Dichlorvos",NA,"","Neuro",0,0,0
"77-73-6","Dicyclopentadiene",NA,"Kidney",NA,0,0,0
"60-57-1","Dieldrin",NA,"",NA,1,0,0
"0-02-4","Diesel exhaust particulate",NA,"","Resp",0,0,0
"111-42-2","Diethanolamine",NA,"Systemic","Resp, Blood",0,0,0
"112-34-5","Diethylene Glycol Monobutyl Ether",NA,"Liver","Liver",0,0,0
"111-90-0","Diethylene Glycol Monoethyl Ether",NA,"Systemic","Skin",0,0,0
"75-37-6","Difluoroethane, 1,1-",NA,"","Systemic",0,0,0
"108-20-3","Diisopropyl Ether",NA,"Repro","Systemic",0,0,0
"60-11-7","Dimethyl aminoazobenzene",NA,"",NA,0,0,0
"68-12-2","Dimethyl formamide",NA,"Liver","Liver",0,0,0
"108-01-0","Dimethylamino ethanol, 2-",NA,"Resp",NA,0,0,0
"57-97-6","Dimethylbenz[a]anthracene, 7,12-",NA,"",NA,1,0,0
"57-14-7","Dimethylhydrazine, 1,1-",NA,"Repro",NA,0,0,0
"42397-64-8","Dinitropyrene, 1,6- (BaP)",NA,"",NA,0,0,0
"42397-65-9","Dinitropyrene, 1,8- (BaP)",NA,"",NA,0,0,0
"121-14-2","Dinitrotoluene, 2,4-",NA,"",NA,0,0,0
"123-91-1","Dioxane, 1,4- (1,4-Diethylene dioxide)","Eyes , Resp","","Digest, Kidney, Cardio",0,0,0
"122-66-7","Diphenylhydrazine, 1,2-",NA,"",NA,0,0,0
"106-89-8","Epichlorohydrin (l-Chloro-2,3-epoxypropane)","Resp , Eyes","Resp","Resp",0,0,0
"106-88-7","Epoxybutane, 1,2-",NA,"","Resp",0,0,0
"67-17-5","Ethanol","Ethanol specific",NA,"Ethanol specific",0,0,0
"110-80-5","Ethoxyethanol, 2- (ethylene glycol monoethyl ether)","Repro","Repro, Blood","Repro",0,0,1
"141-78-6","Ethyl Acetate","Ethanol specific","Systemic","Ethanol specific",0,0,0
"140-88-5","Ethyl Acrylate",NA,"Resp",NA,0,0,0
"100-41-4","Ethyl benzene","Repro","Auditory","Repro",0,0,1
"51-79-6","Ethyl carbamate (Urethane)",NA,"",NA,0,0,0
"75-00-3","Ethyl chloride (Chloroethane)","Repro","Repro","Repro",0,0,1
"97-63-2","Ethyl Methacrylate",NA,"Repro","Repro",0,0,1
"106-93-4","Ethylene dibromide (Dibromoethane)",NA,"","Resp",0,0,0
"107-06-2","Ethylene dichloride (1,2-Dichloroethane)",NA,"Neuro","Liver",0,0,0
"107-21-1","Ethylene glycol",NA,"","Resp, Kidney",0,0,0
"75-21-8","Ethylene oxide",NA,"","Neuro",0,0,0
"96-45-7","Ethylene thiourea",NA,"",NA,0,0,0
"75-34-3","Ethylidene dichloride (1,1-Dichloroethane)",NA,"",NA,0,0,0
"206-44-0","Fluoranthene",NA,"",NA,0,0,0
"1101","Fluorides (except hydrogen fluoride)",NA,"","Bone/Teeth, Resp",0,0,0
"50-00-0","Formaldehyde","Resp , Eyes","","Resp",0,0,0
"64-18-6","Formic Acid","Ethanol specific","Blood",NA,0,0,0
"98-01-0","Furfural","Ethanol specific",NA,"Ethanol specific",0,0,0
"111-30-8","Glutaraldehyde",NA,"","Resp",0,1,0
"0-01-2","Glycol ethers","Repro","Repro, Blood","Repro",0,0,1
"76-44-8","Heptachlor",NA,"",NA,1,0,0
"1024-57-3","Heptachlor epoxide",NA,"",NA,1,0,0
"35822-46-9","Heptachlorodibenzo-p-dioxin, 1,2,3,4,6,7,8-",NA,"","Liver, Repro, Resp, Blood",1,0,0
"00-08-5","Heptachlorodibenzodioxin, All Isomers",NA,"","Liver, Repro, Resp, Blood",1,0,0
"67562-39-4","Heptachlorodibenzofuran, 1,2,3,4,6,7,8-",NA,"","Liver, Repro, Resp, Blood",1,0,0
"55673-89-7","Heptachlorodibenzofuran, 1,2,3,4,7,8,9-",NA,"","Liver, Repro, Resp, Blood",1,0,0
"00-08-4","Heptachlorodibenzofuran, All Isomers",NA,"","Liver, Repro, Resp, Blood",1,0,0
"118-74-1","Hexachlorobenzene",NA,"",NA,0,0,0
"87-68-3","Hexachlorobutadiene",NA,"",NA,0,0,0
"608-73-1","Hexachlorocyclohexane (technical grade)",NA,"",NA,0,0,0
"319-84-6","Hexachlorocyclohexane, alpha-",NA,"",NA,0,0,0
"319-85-7","Hexachlorocyclohexane, beta-1,2,3,4,5,6-",NA,"",NA,0,0,0
"77-47-4","Hexachlorocyclopentadiene",NA,"","Resp",1,0,0
"39227-28-6","Hexachlorodibenzo-p-dioxin, 1,2,3,4,7,8-",NA,"","Liver, Repro, Resp, Blood",1,0,0
"57653-85-7","Hexachlorodibenzo-p-dioxin, 1,2,3,6,7,8-",NA,"","Liver, Repro, Resp, Blood",1,0,0
"19408-74-3","Hexachlorodibenzo-p-dioxin, 1,2,3,7,8,9-",NA,"","Liver, Repro, Resp, Blood",1,0,0
"00-08-3","Hexachlorodibenzodioxins, All Isomers",NA,"","Liver, Repro, Resp, Blood",1,0,0
"70648-26-9","Hexachlorodibenzofuran, 1,2,3,4,7,8-",NA,"","Liver, Repro, Resp, Blood",1,0,0
"57117-44-9","Hexachlorodibenzofuran, 1,2,3,6,7,8-",NA,"","Liver, Repro, Resp, Blood",1,0,0
"72918-21-9","Hexachlorodibenzofuran, 1,2,3,7,8,9-",NA,"","Liver, Repro, Resp, Blood",1,0,0
"60851-34-5","Hexachlorodibenzofuran, 2,3,4,6,7,8-",NA,"","Liver, Repro, Resp, Blood",1,0,0
"00-08-2","Hexachlorodibenzofurans, All Isomers",NA,"","Liver, Repro, Resp, Blood",1,0,0
"67-72-1","Hexachloroethane",NA,"","Neuro",0,0,0
"822-06-0","Hexamethylene-1,6-diisocyanate",NA,"","Resp",0,1,0
"110-54-3","Hexane",NA,"Neuro","Neuro, Resp",0,0,0
"591-78-6","Hexanone-2",NA,"","Neuro",0,0,0
"302-01-2","Hydrazine",NA,"Blood","Digest, Repro",0,0,0
"10034-93-2","Hydrazine sulfate",NA,"",NA,0,0,0
"7647-01-0","Hydrochloric acid (hydrogen chloride)","Resp , Eyes","","Resp",0,0,0
"74-90-8","Hydrogen cyanide","Neuro","","Neuro, Repro",0,0,0
"7664-39-3","Hydrogen fluoride (Hydrofluoric acid)","Resp","","Bone/Teeth, Resp",0,0,0
"7783-07-5","Hydrogen selenide","Resp , Eyes","",NA,0,0,0
"7783-06-4","Hydrogen sulfide","Resp","Resp","Resp",0,0,0
"193-39-5","Indeno(1,2,3-cd)pyrene",NA,"",NA,1,0,0
"121-51-3","Isoamyl","Ethanol specific",NA,"Ethanol specific",0,0,0
"78-59-1","Isophorone",NA,"","Kidney, Digest, Repro",0,0,0
"67-63-0","Isopropyl alcohol","Resp , Eyes","Neuro","Repro, Kidney",0,0,0
"50-21-5","Lactic Acid","Ethanol specific",NA,"Ethanol specific",0,0,0
"7439-92-1","Lead",NA,"Repro, Cardio, Neuro","Repro, Neuro, Cardio",1,0,0
"7758-97-6","Lead Chromate",NA,"Resp","Resp",0,0,0
"0-01-3","Lead Compounds",NA,"Repro, Cardio, Neuro","Repro, Neuro, Cardio",1,0,0
"58-89-9","Lindane (all isomers)",NA,"",NA,1,0,0
"00-07-8","m- and p-Xylenes","Resp , Eyes , Neuro","","Neuro, Resp",0,0,0
"108-31-6","Maleic anhydride",NA,"","Resp",0,1,0
"7439-96-5","Manganese",NA,"","Neuro",0,0,0
"0-01-4","Manganese Compounds",NA,"","Neuro",0,0,0
"1313-13-9","Manganese Dioxide",NA,"","Neuro",0,0,0
"7439-97-6","Mercury (elemental)","Repro , Neuro","","Neuro",1,0,1
"0-02-3","Mercury Compounds","Repro , Neuro","","Neuro",1,0,1
"126-98-7","Methacrylonitrile",NA,"Liver","Liver",0,0,0
"67-56-1","Methanol","Neuro","","Repro",0,0,0
"109-86-4","Methoxyethanol, 2- (ethylene glycol monomethyl ether EGME)","Repro","Repro, Blood","Repro",0,0,1
"96-33-3","Methyl acrylate",NA,"Resp","Resp",0,0,0
"74-83-9","Methyl bromide (Bromomethane)","Neuro","Resp","Resp",0,0,0
"110-49-6","Methyl Cellosolve Acetate",NA,"Repro","Repro",0,0,0
"74-87-3","Methyl chloride (Chloromethane)",NA,"Systemic","Neuro",0,0,0
"71-55-6","Methyl chloroform (1,1,1-Trichloroethane)","Neuro","Liver","Liver",0,0,0
"78-93-3","Methyl ethyl ketone (2-Butanone)","Resp , Eyes","","Repro",0,0,0
"60-34-4","Methyl Hydrazine",NA,"Liver",NA,0,0,0
"108-10-1","Methyl isobutyl ketone (Hexone)",NA,"","Repro",0,0,0
"624-83-9","Methyl isocyanate",NA,"","Repro, Resp",0,0,0
"80-62-6","Methyl methacrylate",NA,"","Resp",0,0,0
"1634-04-4","Methyl tert butyl ether",NA,"","Liver, Kidney",0,0,0
"56-49-5","Methylcholanthrene, 3-",NA,"",NA,1,0,0
"3697-24-3","Methylchrysene, 5-",NA,"",NA,1,0,0
"101-14-4","Methylene bis(2-chloroaniline), 4,4-",NA,"",NA,0,0,0
"74-95-3","Methylene Bromide",NA,"",NA,0,0,0
"75-09-2","Methylene chloride (Dichloromethane)","Neuro","","Liver",0,0,0
"101-68-8","Methylene diphenyl diisocyanate (MDI)",NA,"","Resp",0,1,0
"101-77-9","Methylenedianiline, 4,4-",NA,"","Eyes, Digest",0,0,0
"90-94-8","Michler's ketone",NA,"",NA,0,0,0
"10595-95-6","N- Nitrosomethylethylamine",NA,"",NA,0,0,0
"924-16-3","N-Nitrosodi-n-butylamine",NA,"",NA,0,0,0
"621-64-7","N-Nitrosodi-n-propylamine",NA,"",NA,0,0,0
"55-18-5","N-Nitrosodiethylamine",NA,"",NA,0,0,0
"62-75-9","N-Nitrosodimethylamine",NA,"",NA,0,0,0
"86-30-6","N-Nitrosodiphenylamine",NA,"",NA,0,0,0
"59-89-2","N-Nitrosomorpholine",NA,"",NA,0,0,0
"100-75-4","N-Nitrosopiperidine",NA,"",NA,0,0,0
"111-84-2","N-Nonane",NA,"Systemic","Systemic",0,0,1
"64724-95-6","Naphtha, High Flash Aromatic (HFAN)",NA,"Repro","Repro",0,0,0
"91-20-3","Naphthalene","Resp","","Resp",0,0,0
"193-09-9","Naphtho[2,3-e]pyrene",NA,"",NA,0,0,0
"7440-02-0","Nickel","Resp","","Resp, Blood",0,1,0
"0-01-5","Nickel Compounds","Resp","","Resp, Blood",0,1,0
"1313-99-1","Nickel oxide","Resp","","Resp, Blood",0,1,0
"0-02-5","Nickel refinery dust from the pyrometallurgical process","Resp","","Resp, Blood",0,1,0
"12035-72-2","Nickel sulfide (NI3S2)","Resp","","Resp, Blood",0,1,0
"7697-37-2","Nitric acid","Resp","",NA,0,0,0
"602-87-9","Nitroacenaphthene, 5-",NA,"",NA,0,0,0
"100-01-6","Nitroaniline, 4-",NA,"Blood",NA,0,0,0
"98-95-3","Nitrobenzene",NA,"","Resp",0,0,0
"7496-02-8","Nitrochrysene, 6-",NA,"",NA,1,0,0
"607-57-8","Nitrofluorene, 2-",NA,"",NA,0,0,0
"10102-44-0","Nitrogen dioxide (NO2)","Resp","",NA,0,0,0
"VARIOUS-NOx","Nitrogen oxides (NOx)","Resp",NA,NA,0,0,0
"75-52-5","Nitromethane",NA,"Resp","Resp",0,0,0
"79-46-9","Nitropropane, 2-",NA,"","Liver",0,0,0
"5522-43-0","Nitropyrene, 1-",NA,"",NA,1,0,0
"57835-92-4","Nitropyrene, 4-",NA,"",NA,0,0,0
"156-10-5","Nitrosodiphenylamine, p-",NA,"",NA,0,0,0
"3268-87-9","Octachlorodibenzo-p-dioxin, 1,2,3,4,6,7,8,9-",NA,"","Liver, Repro, Resp, Blood",1,0,0
"39001-02-0","Octachlorodibenzofuran, 1,2,3,4,6,7,8,9-",NA,"","Liver, Repro, Resp, Blood",1,0,0
"10028-15-6","Ozone","Resp , Eyes","",NA,1,0,0
"74472-37-0","PCB 114 (2,3,4,4,5 Pentachlorobiphenyl)",NA,"","Liver, Repro, Resp, Blood",1,0,0
"31508-00-6","PCB 118 (2,3,4,4,5 Pentachlorobiphenyl)",NA,"","Liver, Repro, Resp, Blood",1,0,0
"65510-44-3","PCB 123 (2,3,4,4,5 Pentachlorobiphenyl)",NA,"","Liver, Repro, Resp, Blood",1,0,0
"57465-28-8","PCB 126 (3,3,4,4,5 Pentachlorobiphenyl)",NA,"","Liver, Repro, Resp, Blood",1,0,0
"38380-0804","PCB 156 (2,3,3,4,4,5 Hexachlorobiphenyl)",NA,"","Liver, Repro, Resp, Blood",1,0,0
"69782-90-7","PCB 157 (2,3,3,4,4,5 Hexachlorobiphenyl)",NA,"","Liver, Repro, Resp, Blood",1,0,0
"52663-72-6","PCB 167 (2,3,4,4,5,5 Hexachlorobiphenyl)",NA,"","Liver, Repro, Resp, Blood",1,0,0
"32774-16-6","PCB 169 (3,3,4,4,5,5 Hexachlorobiphenyl)",NA,"","Liver, Repro, Resp, Blood",1,0,0
"39635-31-9","PCB 189 (2,3,3,4,4,5,5 Heptachlorobiphenyl)",NA,"","Liver, Repro, Resp, Blood",1,0,0
"32598-13-3","PCB 77 (3,3,4,4-Tetrachlorobiphenyl)",NA,"","Liver, Repro, Resp, Blood",1,0,0
"70362-50-4","PCB 81 (3,4,4,5 Tetrachlorobiphenyl)",NA,"","Liver, Repro, Resp, Blood",1,0,0
"32598-14-4","PCB105 (2,3,3,4,4 Pentachlorobiphenyl)",NA,"","Liver, Repro, Resp, Blood",1,0,0
"40321-76-4","Pentachlorodibenzo-p-dioxin, 1,2,3,7,8-",NA,"","Liver, Repro, Resp, Blood",1,0,0
"00-08-1","Pentachlorodibenzodioxins, All Isomers",NA,"","Liver, Repro, Resp, Blood",1,0,0
"57117-41-6","Pentachlorodibenzofuran, 1,2,3,7,8-",NA,"","Liver, Repro, Resp, Blood",1,0,0
"57117-31-4","Pentachlorodibenzofuran, 2,3,4,7,8-",NA,"","Liver, Repro, Resp, Blood",1,0,0
"00-09-0","Pentachlorodibenzofurans, All Isomers",NA,"","Liver, Repro, Resp, Blood",1,0,0
"87-86-5","Pentachlorophenol",NA,"",NA,0,0,0
"109-66-0","Pentane, n-",NA,"Systemic","Systemic",0,0,0
"00-07-7","Petroleum Hydrocarbons, Aliphatic (C7 - C11)",NA,"","Systemic",0,0,0
"85-01-8","Phenanthrene",NA,"",NA,1,0,0
"108-95-2","Phenol","Resp , Eyes","","Digest, Cardio, Kidney",0,0,0
"75-44-5","Phosgene","Resp","","Resp",0,0,0
"7803-51-2","Phosphine",NA,"Systemic","Systemic",0,0,0
"7664-38-2","Phosphoric acid",NA,"","Resp",0,0,0
"85-44-9","Phthalic anhydride",NA,"","Resp",0,1,0
"1336-36-3","Polychlorinated biphenyls (Aroclors unspeciated)",NA,"","Liver, Repro, Resp, Blood",1,0,0
"00-08-0","Polychlorinated Dibenzo-P-Dioxins And Furans, Total",NA,"","Liver, Repro, Resp, Blood",1,0,0
"00-05-0","Polychlorinated Dibenzodioxins, Total",NA,"","Liver, Repro, Resp, Blood",1,0,0
"00-05-1","Polychlorinated Dibenzofurans, Total",NA,"","Liver, Repro, Resp, Blood",1,0,0
"130498-29-2","Polycyclic Aromatic Hydrocarbons (PAH)",NA,"",NA,1,0,0
"00-01-7","Polycyclic Organic Matter (POM)",NA,"",NA,0,0,0
"9016-87-9","Polymeric diphenylmethane diisocyanate",NA,"","Resp",0,1,0
"7758-01-2","Potassium bromate",NA,"",NA,0,0,0
"1120-71-4","Propane sultone, 1,3-",NA,"",NA,0,0,0
"71-23-8","Propanol","Ethanol specific",NA,"Ethanol specific",0,0,0
"123-38-6","Propionaldehyde",NA,"","Resp",0,0,0
"79-09-4","Propionic Acid","Ethanol specific",NA,"Ethanol specific",0,0,0
"128-38-6","Proprionaldehyde","Ethanol specific",NA,"Ethanol specific",0,0,0
"115-07-1","Propylene",NA,"","Resp",0,0,0
"78-87-5","Propylene dichloride (1,2-Dichloropropane)",NA,"Resp","Resp",0,0,0
"107-98-2","Propylene Glycol Monomethyl Ether",NA,"Neuro","Neuro",0,0,0
"75-56-9","Propylene oxide","Resp , Repro , Eyes","","Resp",0,0,1
"930-55-2","Pyrrolidine, 1-Nitroso-",NA,"",NA,0,0,0
"7782-49-2","Selenium",NA,"","Digest, Cardio, Neuro",0,0,0
"0-01-9","Selenium Compounds",NA,"","Digest, Cardio, Neuro",0,0,0
"7631-86-9","Silica (crystalline, respirable, PM4)",NA,"","Resp",0,0,0
"1310-73-2","Sodium hydroxide","Resp , Eyes , Skin","",NA,0,0,0
"7789-06-2","Strontium chromate",NA,"Resp","Resp",0,0,0
"100-42-5","Styrene","Resp , Eyes","","Neuro",0,0,0
"14808-79-8","Sulfates","Resp","",NA,0,0,0
"126-33-0","Sulfolane",NA,"Resp, Neuro",NA,0,0,0
"7446-09-5","Sulfur dioxide","Resp","",NA,0,0,0
"7664-93-9","Sulfuric acid (aerosol forms only)","Resp","","Resp",0,0,0
"8014-95-7","Sulfuric Acid mixture w. sulfur trioxide (oleum)","Resp","",NA,0,0,0
"00-09-1","TCDD Eqivalents, 2,3,7,8-",NA,"","Liver, Repro, Resp, Blood",1,0,0
"1746-01-6","Tetrachlorodibenzo-p-dioxin, 2,3,7,8-",NA,"","Liver, Repro, Resp, Blood",1,0,0
"00-08-8","Tetrachlorodibenzodioxins, All Isomers",NA,"","Liver, Repro, Resp, Blood",1,0,0
"51207-31-9","Tetrachlorodibenzofuran, 2,3,7,8-",NA,"","Liver, Repro, Resp, Blood",1,0,0
"00-08-6","Tetrachlorodibenzofurans, All Isomers",NA,"","Liver, Repro, Resp, Blood",1,0,0
"630-20-6","Tetrachloroethane, 1,1,1,2-",NA,"",NA,0,0,0
"79-34-5","Tetrachloroethane, 1,1,2,2-",NA,"",NA,0,0,0
"127-18-4","Tetrachloroethylene (Perchloroethylene)","Resp , Neuro , Eyes","","Neuro",0,0,0
